               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11041,            0.086885,            0.027511,            0.017757,             0.53156,            0.025548,           0.0062526,            0.085762,            0.078504,            0.024743,              0.0874,              0.0014,              0.0014
                   1,              0.0853,            0.098724,            0.021539,             0.55498,             0.28862,            0.061628,            0.019819,            0.076045,            0.083331,            0.017137,            0.073871,           0.0028713,           0.0028713
                   2,            0.074421,            0.084148,            0.016813,             0.71066,             0.33943,             0.32571,             0.12683,            0.070393,            0.062195,            0.015252,            0.060313,           0.0043129,           0.0043129
                   3,            0.069921,            0.073736,            0.015688,             0.68954,             0.30774,              0.2459,             0.11686,            0.070872,            0.049182,             0.01491,            0.046725,           0.0057248,           0.0057248
                   4,             0.07519,            0.068225,            0.015726,             0.78602,             0.26423,              0.3429,             0.20163,            0.062832,            0.041873,            0.014931,            0.033107,            0.007107,            0.007107
                   5,            0.071437,            0.064402,            0.014968,             0.77626,             0.19207,             0.33177,             0.11589,             0.07105,            0.040779,            0.014547,            0.019459,           0.0084594,           0.0084594
                   6,            0.076346,            0.059955,            0.015017,             0.81931,             0.33585,             0.35104,            0.087879,             0.07059,            0.036962,            0.014199,            0.009406,            0.009406,            0.009406
                   7,            0.079332,            0.055365,             0.01529,              0.9208,             0.35637,             0.60413,             0.31478,            0.056636,            0.038325,            0.013516,            0.009406,            0.009406,            0.009406
                   8,            0.064323,             0.05966,            0.014754,             0.78924,             0.35982,             0.57789,             0.27989,            0.055435,            0.043165,             0.01283,            0.009307,            0.009307,            0.009307
                   9,              0.0585,            0.057049,             0.01438,             0.29027,             0.91905,             0.74973,             0.34558,            0.058854,            0.040235,            0.012106,            0.009208,            0.009208,            0.009208
                  10,            0.054882,            0.049863,            0.013501,             0.52141,             0.86464,               0.852,             0.38649,            0.047191,            0.036585,            0.011471,            0.009109,            0.009109,            0.009109
                  11,            0.051436,            0.053748,            0.013224,             0.59412,             0.81226,             0.83934,             0.45952,             0.04281,            0.033231,            0.010737,             0.00901,             0.00901,             0.00901
                  12,             0.05012,            0.052307,             0.01263,             0.66381,             0.81206,             0.77161,              0.4738,            0.049159,            0.033272,            0.010196,            0.008911,            0.008911,            0.008911
                  13,             0.04725,            0.049365,            0.012673,             0.59637,             0.96274,             0.94059,             0.54443,            0.044803,            0.032635,           0.0097193,            0.008812,            0.008812,            0.008812
                  14,            0.042257,            0.052953,             0.01218,             0.79562,             0.88803,             0.94541,             0.50014,            0.035066,            0.034693,           0.0092066,            0.008713,            0.008713,            0.008713
                  15,            0.043546,            0.054606,            0.011467,             0.75365,             0.82083,             0.92384,             0.59808,            0.040491,            0.030885,           0.0081131,            0.008614,            0.008614,            0.008614
                  16,            0.043077,            0.049369,            0.010826,             0.83632,             0.87153,             0.95219,             0.55175,            0.029559,            0.027908,            0.007856,            0.008515,            0.008515,            0.008515
                  17,            0.041836,            0.049249,           0.0099035,             0.70841,             0.92185,             0.95192,             0.59864,            0.040684,            0.030652,           0.0073784,            0.008416,            0.008416,            0.008416
                  18,            0.041241,            0.044207,           0.0094744,             0.86021,             0.82143,             0.95075,             0.66972,            0.035055,            0.028264,            0.006017,            0.008317,            0.008317,            0.008317
                  19,            0.040225,            0.044971,           0.0091771,             0.78549,             0.80668,             0.94165,             0.61357,            0.038712,            0.027843,           0.0052587,            0.008218,            0.008218,            0.008218
                  20,            0.039553,             0.04719,           0.0092308,             0.95305,             0.87435,             0.97882,             0.66065,            0.028875,            0.025631,           0.0048386,            0.008119,            0.008119,            0.008119
                  21,            0.038746,            0.045083,           0.0080685,             0.83767,              0.8915,             0.96153,             0.60206,            0.042983,            0.027831,           0.0041125,             0.00802,             0.00802,             0.00802
                  22,            0.036569,            0.044895,           0.0079347,             0.94691,             0.91905,             0.98116,             0.63346,            0.037559,            0.027901,           0.0039321,            0.007921,            0.007921,            0.007921
                  23,            0.037077,            0.046341,           0.0069247,             0.94835,             0.93058,             0.97522,             0.72445,            0.036856,            0.027135,           0.0036369,            0.007822,            0.007822,            0.007822
                  24,            0.036022,            0.044143,           0.0067486,             0.94596,             0.94843,             0.98474,              0.7173,            0.025294,            0.023603,           0.0035112,            0.007723,            0.007723,            0.007723
                  25,              0.0333,            0.042998,           0.0068303,             0.78708,             0.78505,             0.88696,             0.65011,              0.0371,            0.027907,           0.0032792,            0.007624,            0.007624,            0.007624
                  26,            0.034571,            0.043521,           0.0062883,             0.92758,             0.93813,             0.98015,             0.73036,            0.032282,            0.025935,           0.0032427,            0.007525,            0.007525,            0.007525
                  27,            0.032811,            0.043481,           0.0057316,              0.9388,              0.9604,             0.97733,             0.74964,            0.034555,            0.025187,           0.0031671,            0.007426,            0.007426,            0.007426
                  28,            0.033433,             0.04295,           0.0056885,             0.94013,             0.95665,             0.98108,              0.7562,            0.023999,            0.021856,           0.0030162,            0.007327,            0.007327,            0.007327
                  29,            0.032121,            0.040069,           0.0054493,             0.95298,             0.95816,             0.98459,             0.73285,            0.033774,            0.026072,           0.0028536,            0.007228,            0.007228,            0.007228
                  30,            0.031611,            0.039993,           0.0052015,             0.94334,             0.95943,              0.9849,             0.73219,            0.032705,            0.025881,           0.0028804,            0.007129,            0.007129,            0.007129
                  31,            0.031836,            0.038934,           0.0048151,             0.95755,             0.95864,             0.98501,             0.76329,            0.030844,            0.024188,           0.0028449,             0.00703,             0.00703,             0.00703
                  32,             0.03144,            0.038031,           0.0048798,              0.9626,             0.94515,             0.98264,             0.73925,            0.025123,            0.022397,           0.0026984,            0.006931,            0.006931,            0.006931
                  33,            0.032065,            0.040325,           0.0046654,             0.93332,             0.96858,             0.98073,             0.78411,            0.028593,            0.023038,           0.0025722,            0.006832,            0.006832,            0.006832
                  34,             0.02964,            0.040766,           0.0047906,             0.93585,              0.9676,             0.98499,             0.74395,            0.031136,            0.026118,           0.0024663,            0.006733,            0.006733,            0.006733
                  35,            0.028108,            0.036659,           0.0047944,             0.96465,             0.94142,             0.98666,              0.7642,            0.030061,            0.023554,           0.0025234,            0.006634,            0.006634,            0.006634
                  36,            0.028918,            0.039536,           0.0045896,             0.93203,             0.96516,             0.98352,             0.76224,             0.02403,            0.021695,           0.0023429,            0.006535,            0.006535,            0.006535
                  37,             0.02968,            0.036635,           0.0049755,             0.94582,             0.95654,             0.98439,             0.73202,            0.033357,            0.024446,           0.0021725,            0.006436,            0.006436,            0.006436
                  38,             0.02894,            0.036748,           0.0043928,             0.92357,             0.96641,             0.98129,             0.80085,            0.030671,            0.023997,           0.0023166,            0.006337,            0.006337,            0.006337
                  39,            0.026075,            0.037995,            0.004273,             0.93951,             0.96293,             0.98551,             0.76778,            0.028809,            0.022134,           0.0022735,            0.006238,            0.006238,            0.006238
                  40,            0.028411,             0.03708,           0.0044933,             0.95565,             0.96509,             0.98812,             0.81135,            0.021589,            0.019452,           0.0021263,            0.006139,            0.006139,            0.006139
                  41,            0.027401,            0.036996,           0.0043897,             0.96296,             0.96781,             0.99049,             0.78389,            0.027822,            0.022678,           0.0020642,             0.00604,             0.00604,             0.00604
                  42,              0.0273,            0.038061,           0.0043305,             0.95714,             0.95964,             0.99029,             0.79822,            0.026676,            0.022029,           0.0021875,            0.005941,            0.005941,            0.005941
                  43,            0.027065,            0.038622,           0.0039219,             0.93443,             0.96789,             0.98719,             0.78973,            0.025206,            0.020767,           0.0019658,            0.005842,            0.005842,            0.005842
                  44,            0.025877,             0.03595,           0.0038805,             0.94211,             0.95855,             0.98305,             0.78519,            0.022408,            0.020842,            0.001947,            0.005743,            0.005743,            0.005743
                  45,            0.025423,            0.036738,           0.0035685,             0.93845,               0.958,             0.97411,             0.75187,             0.02993,            0.023191,           0.0021219,            0.005644,            0.005644,            0.005644
                  46,            0.026503,            0.037207,           0.0035634,             0.93606,             0.95543,             0.98256,             0.82483,            0.023139,             0.01954,           0.0021641,            0.005545,            0.005545,            0.005545
                  47,            0.026182,            0.036291,           0.0034196,             0.91436,             0.97112,             0.96637,             0.81235,            0.024337,            0.019669,           0.0021913,            0.005446,            0.005446,            0.005446
                  48,            0.025699,            0.034342,           0.0032887,             0.92872,              0.9702,             0.98289,             0.81708,            0.019218,            0.017144,           0.0021318,            0.005347,            0.005347,            0.005347
                  49,            0.024717,            0.036605,           0.0032021,             0.93689,             0.96552,             0.98515,             0.82993,            0.023511,            0.019281,           0.0019624,            0.005248,            0.005248,            0.005248
                  50,            0.024714,             0.03581,           0.0032003,             0.95115,             0.96987,             0.99031,              0.8154,            0.024341,            0.019952,           0.0017587,            0.005149,            0.005149,            0.005149
                  51,            0.024783,            0.034198,           0.0031602,             0.94863,              0.9708,              0.9899,             0.83718,            0.022758,            0.019017,           0.0017134,             0.00505,             0.00505,             0.00505
                  52,            0.023907,            0.033387,           0.0030944,             0.95026,             0.95839,             0.98836,             0.80345,            0.020038,            0.017925,            0.001814,            0.004951,            0.004951,            0.004951
                  53,            0.024258,            0.033312,           0.0031315,              0.9463,             0.96478,             0.98773,             0.83472,            0.022743,            0.019468,           0.0017818,            0.004852,            0.004852,            0.004852
                  54,            0.023973,            0.034774,           0.0032329,             0.94234,             0.96478,             0.98727,             0.84213,            0.023571,            0.020291,           0.0017138,            0.004753,            0.004753,            0.004753
                  55,            0.023551,             0.03418,           0.0031064,             0.95475,             0.96588,             0.99028,             0.85084,            0.023336,            0.019267,           0.0016899,            0.004654,            0.004654,            0.004654
                  56,            0.023315,            0.033525,           0.0028487,              0.9656,             0.97156,             0.99155,             0.84376,            0.018466,            0.017017,           0.0016732,            0.004555,            0.004555,            0.004555
                  57,             0.02339,            0.033341,           0.0028957,             0.96247,             0.97066,             0.99036,             0.86189,            0.023508,            0.020503,           0.0015491,            0.004456,            0.004456,            0.004456
                  58,            0.022639,            0.034539,           0.0030814,             0.96665,             0.96723,              0.9918,              0.8674,            0.020341,            0.018836,           0.0017462,            0.004357,            0.004357,            0.004357
                  59,            0.022668,            0.035129,           0.0031941,             0.98475,             0.94483,             0.99191,             0.86913,            0.021359,            0.018447,           0.0017784,            0.004258,            0.004258,            0.004258
                  60,            0.022156,             0.03249,           0.0027935,             0.97982,             0.95976,             0.99154,             0.86004,            0.018266,            0.016894,            0.001576,            0.004159,            0.004159,            0.004159
                  61,            0.022564,            0.034217,           0.0029779,             0.98266,             0.95658,             0.99203,             0.87069,            0.019714,            0.017137,           0.0014765,             0.00406,             0.00406,             0.00406
                  62,            0.021053,            0.030977,           0.0028502,             0.96162,             0.95869,             0.99062,             0.86542,            0.019158,            0.016595,           0.0014322,            0.003961,            0.003961,            0.003961
                  63,            0.021504,            0.032096,           0.0029899,              0.9495,             0.97234,             0.99103,             0.87687,             0.01845,              0.0172,           0.0013516,            0.003862,            0.003862,            0.003862
                  64,            0.020526,              0.0311,            0.002673,             0.95013,             0.96478,             0.98942,             0.88712,            0.017637,            0.016293,           0.0014555,            0.003763,            0.003763,            0.003763
                  65,             0.02075,            0.031659,           0.0027563,              0.9848,             0.94152,             0.98911,             0.85454,            0.020392,            0.017681,           0.0015159,            0.003664,            0.003664,            0.003664
                  66,            0.021157,             0.03158,           0.0024242,              0.9595,             0.95507,             0.99006,             0.87715,            0.019196,            0.016753,           0.0014357,            0.003565,            0.003565,            0.003565
                  67,            0.021235,            0.032458,           0.0027856,             0.94745,             0.97934,             0.98981,             0.88742,            0.018482,            0.016092,           0.0014089,            0.003466,            0.003466,            0.003466
                  68,             0.02036,             0.03007,           0.0026203,             0.94356,             0.98137,             0.98965,             0.85794,            0.017448,            0.015243,           0.0014791,            0.003367,            0.003367,            0.003367
                  69,            0.019837,            0.032921,           0.0028068,              0.9695,             0.96094,             0.99071,             0.88965,            0.017745,            0.015201,           0.0013959,            0.003268,            0.003268,            0.003268
                  70,            0.019743,             0.03122,           0.0025863,             0.95434,             0.97194,             0.99187,              0.8888,            0.018056,            0.015886,           0.0013474,            0.003169,            0.003169,            0.003169
                  71,            0.019604,             0.03126,           0.0024632,             0.95953,             0.96681,             0.99229,             0.89028,            0.017131,            0.015796,           0.0014891,             0.00307,             0.00307,             0.00307
                  72,            0.019298,            0.030613,           0.0023785,             0.95452,             0.97373,             0.99182,             0.85327,            0.017221,            0.016074,           0.0012583,            0.002971,            0.002971,            0.002971
                  73,            0.019674,            0.031101,           0.0021849,             0.95099,             0.97332,             0.98902,             0.85017,            0.018523,            0.016899,           0.0012355,            0.002872,            0.002872,            0.002872
                  74,            0.018985,            0.029584,           0.0026474,             0.96232,             0.96366,             0.99117,             0.88163,            0.016924,            0.016224,           0.0012589,            0.002773,            0.002773,            0.002773
                  75,            0.018557,            0.027497,           0.0023504,             0.97567,             0.95687,             0.99212,             0.89158,            0.016545,            0.015366,           0.0013114,            0.002674,            0.002674,            0.002674
                  76,            0.018663,            0.030381,           0.0025726,             0.97563,             0.95168,             0.99227,             0.87826,            0.015606,            0.014673,           0.0014144,            0.002575,            0.002575,            0.002575
                  77,            0.017947,             0.02883,           0.0022769,             0.98511,             0.95705,             0.99246,             0.89116,            0.015798,            0.014679,           0.0012876,            0.002476,            0.002476,            0.002476
                  78,            0.018321,            0.029575,           0.0024421,             0.95365,             0.98156,             0.99182,             0.88791,            0.015895,            0.014701,           0.0012355,            0.002377,            0.002377,            0.002377
                  79,            0.018381,            0.029528,           0.0021873,             0.95177,             0.97222,             0.98944,             0.88699,            0.015755,            0.014827,           0.0012481,            0.002278,            0.002278,            0.002278
                  80,            0.018282,            0.030046,           0.0022269,             0.95349,             0.97405,             0.99014,             0.88416,            0.015651,            0.014612,           0.0012245,            0.002179,            0.002179,            0.002179
                  81,            0.017482,            0.028954,           0.0022551,             0.96809,             0.96392,             0.99244,             0.89465,            0.016302,            0.015254,           0.0012666,             0.00208,             0.00208,             0.00208
                  82,            0.017011,            0.029084,           0.0025885,             0.96372,             0.96574,             0.99115,             0.89291,            0.015287,            0.014431,           0.0011399,            0.001981,            0.001981,            0.001981
                  83,              0.0165,            0.027445,           0.0020648,             0.95032,             0.96963,             0.98862,               0.884,            0.015343,            0.014427,           0.0011837,            0.001882,            0.001882,            0.001882
                  84,            0.016577,            0.027797,           0.0021666,             0.94998,             0.96478,             0.98823,              0.8875,            0.014905,            0.014332,           0.0011634,            0.001783,            0.001783,            0.001783
                  85,            0.016776,            0.028302,           0.0025573,             0.94399,             0.96579,             0.98804,             0.88647,            0.015136,            0.014381,           0.0011507,            0.001684,            0.001684,            0.001684
                  86,            0.016449,            0.028358,           0.0023101,             0.96969,             0.95758,             0.98897,             0.88274,            0.015645,            0.015077,           0.0011259,            0.001585,            0.001585,            0.001585
                  87,            0.016891,            0.029694,           0.0019155,              0.9698,             0.95994,             0.99028,             0.87837,            0.015205,            0.014314,           0.0010994,            0.001486,            0.001486,            0.001486
                  88,            0.016663,            0.027981,           0.0022284,             0.96972,             0.96403,             0.99119,             0.89731,            0.015128,             0.01463,           0.0010985,            0.001387,            0.001387,            0.001387
                  89,            0.016571,            0.027522,           0.0019856,              0.9799,             0.95352,             0.99167,             0.87593,             0.01517,             0.01459,           0.0010932,            0.001288,            0.001288,            0.001288
                  90,            0.016226,             0.02936,           0.0021319,             0.98667,             0.95179,             0.99191,             0.89963,            0.014637,            0.014219,           0.0010648,            0.001189,            0.001189,            0.001189
                  91,            0.015858,            0.027162,           0.0019309,             0.99376,             0.95054,             0.99182,             0.89979,            0.014874,            0.014302,             0.00101,             0.00109,             0.00109,             0.00109
                  92,            0.015487,            0.026288,           0.0018578,             0.99003,             0.94513,             0.99155,             0.89253,             0.01433,            0.013642,          0.00099139,            0.000991,            0.000991,            0.000991
                  93,            0.015463,            0.027242,            0.002014,             0.97396,             0.94883,             0.99084,             0.90121,            0.014162,            0.013351,          0.00098251,            0.000892,            0.000892,            0.000892
                  94,            0.016044,            0.027413,              0.0021,              0.9662,             0.95766,             0.99064,             0.89711,            0.014127,            0.013298,           0.0009768,            0.000793,            0.000793,            0.000793
                  95,            0.015543,            0.027108,           0.0019605,             0.96211,             0.96303,             0.99083,              0.9043,             0.01389,            0.013231,           0.0010086,            0.000694,            0.000694,            0.000694
                  96,            0.015067,            0.026762,           0.0018102,              0.9688,             0.96737,             0.99149,             0.89887,            0.013924,            0.013259,           0.0010149,            0.000595,            0.000595,            0.000595
                  97,              0.0153,            0.026659,           0.0019165,             0.97947,             0.96678,             0.99149,             0.90215,            0.013988,            0.013292,            0.001008,            0.000496,            0.000496,            0.000496
                  98,            0.014257,            0.022991,           0.0015355,             0.97915,             0.96315,             0.99155,             0.89593,             0.01391,            0.013252,          0.00099314,            0.000397,            0.000397,            0.000397
                  99,            0.015033,            0.025443,           0.0020682,             0.97497,             0.96239,             0.99121,             0.90442,            0.013855,            0.013112,          0.00097729,            0.000298,            0.000298,            0.000298
